date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:12	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:12%20GMT	https://www.yinigeria.com.ng/images/directors1.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/directors1.jpg	(from https://www.yinigeria.com.ng/)
14:01:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:12%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_d8e7f3_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_d8e7f3_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:12%20GMT	https://www.yinigeria.com.ng/images/bg_1.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/bg_1.jpg	(from https://www.yinigeria.com.ng/)
14:01:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:13%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_6da8d5_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_6da8d5_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:13%20GMT	https://www.yinigeria.com.ng/images/past/2.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/2.jpg	(from https://www.yinigeria.com.ng/)
14:01:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:13%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_217bc0_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_217bc0_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:13%20GMT	https://www.yinigeria.com.ng/images/past/3.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/3.jpg	(from https://www.yinigeria.com.ng/)
14:01:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:13%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_f9bd01_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_f9bd01_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:14	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:14%20GMT	https://www.yinigeria.com.ng/images/past/4.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/4.png	(from https://www.yinigeria.com.ng/)
14:01:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:14%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_2e83ff_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_2e83ff_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
